0,nospec_no_specifier_test,1558748027,0
1,nospec_empty_string,1558748027,0
2,nospec_some_escaped_chars,1558748027,0
3,nospec_successive_5_5,1558748027,0
4,nospec_successive_2_9,1558748027,0
5,nospec_successive_8_3,1558748027,0
6,pct_basic,1558749838,1558748638
7,pct_5w,1558749838,1558748638
8,pct_5wlj,1558749838,1558748638
9,pct_5wzp,1558749838,1558748638
10,pct_5wljzp,1558749838,1558748638
16,s_basic_string_expansion,1558748027,0
17,s_only_string_expansion,1558748027,0
18,s_two_string_expansions,1558748027,0
19,s_two_string_expansions2,1558748027,0
20,s_empty_string_expansion,1558748027,0
21,s_full_then_empty_string,1558748027,0
22,s_empty_then_full_string,1558748027,0
23,s_three_strings,1558748027,0
24,s_space_padded_field_width,0,1558748027
25,s_space_padded_field_width2,0,1558748027
26,s_space_padded_over_field_width,1558748027,0
27,s_space_padded_field_width_lj,0,1558748027
28,s_space_padded_field_width2_lj,0,1558748027
29,s_space_padded_over_field_width_lj,1558748027,0
30,s_string_prec_notrunc,1558748027,0
31,s_string_prec_trunc,0,1558748027
32,s_string_prec_default,0,1558748027
33,s_string_prec_zero,0,1558748027
34,s_two_strings_prec_2trunc,0,1558748027
35,s_two_strings_prec_1trunc_a,0,1558748027
36,s_two_strings_prec_1trunc_b,0,1558748027
37,s_two_strings_prec_0trunc,0,1558748027
38,s_string_prec_width_notrunc,0,1558748027
39,s_string_prec_width_trunc,0,1558748027
40,s_string_prec_width_notrunc_lj,0,1558748027
41,s_string_prec_width_trunc_lj,0,1558748027
42,s_two_s_prec_width_2fit_0trunc,0,1558748027
43,s_two_s_prec_width_1fit_a_0trunc,0,1558748027
44,s_two_s_prec_width_1fit_b_0trunc,0,1558748027
45,s_two_s_prec_width_0fit_0trunc,1558748027,0
46,s_two_s_prec_width_2fit_1trunc_a,0,1558748027
47,s_two_s_prec_width_1fit_a_1trunc_a,0,1558748027
48,s_two_s_prec_width_1fit_b_1trunc_a,0,1558748027
49,s_two_s_prec_width_0fit_1trunc_a,0,1558748027
50,s_two_s_prec_width_2fit_1trunc_b,0,1558748027
51,s_two_s_prec_width_1fit_a_1trunc_b,0,1558748027
52,s_two_s_prec_width_1fit_b_1trunc_b,0,1558748027
53,s_two_s_prec_width_0fit_1trunc_b,0,1558748027
54,s_two_s_prec_width_2fit_2trunc,0,1558748027
55,s_two_s_prec_width_1fit_a_2trunc,0,1558748027
56,s_two_s_prec_width_1fit_b_2trunc,0,1558748027
57,s_two_s_prec_width_0fit_2trunc,0,1558748027
58,s_two_s_prec_width_2trunc,1558748027,0
59,s_two_strings_lj_and_rj,0,1558748027
60,s_two_strings_rj_and_lj,0,1558748027
61,s_null_basic_string_expansion,1558748027,0
62,s_null_only_string_expansion,1558748027,0
63,s_null_space_padded_field_width,0,1558748027
64,s_null_space_padded_over_field_width,1558748027,0
65,s_null_space_padded_field_width_lj,0,1558748027
66,s_null_space_padded_field_width2_lj,0,1558748027
67,s_null_space_padded_over_field_width_lj,1558748027,0
68,s_null_string_prec_notrunc,1558748027,0
69,s_null_string_prec_trunc,0,1558748027
70,s_null_string_prec_default,0,1558748027
71,s_null_string_prec_zero,0,1558748027
72,i_basic_i_pos,1558748027,0
73,i_basic_i_neg,1558748027,0
74,i_basic_i_zero,1558748027,0
75,i_basic_i_onlypos,1558748027,0
76,i_basic_i_onlyneg,1558748027,0
77,i_basic_i_onlyzero,1558748027,0
78,d_basic_pos,1558748027,0
79,d_basic_neg,1558748027,0
80,d_basic_zero,1558748027,0
81,i_intmax,1558748027,0
82,i_intmin,1558748027,0
83,i_allsign_pos,1558748027,0
84,i_allsign_neg,1558748027,0
85,i_intmax_allsign,1558748027,0
86,i_width_pos_fits,1558748027,0
87,i_width_neg_fits,0,1558748027
88,i_width_zero_fits,1558748027,0
89,i_width_pos_exactfit,1558748027,0
90,i_width_neg_exactfit,1558748027,0
91,i_width_pos_nofit,1558748027,0
92,i_width_neg_nofit,1558748027,0
93,i_width_pos_fits_lj,1558748027,0
94,i_width_neg_fits_lj,1558748027,0
